response,trial_index,trial_type,participantID,age,gender,language,amE,comments,expression,cc
0.75,4,html-slider-response,61,48,male,English,AmE,""":""""}",mnrrc,cheated on his wife
0.36,5,html-slider-response,61,48,male,English,AmE,""":""""}",be right,broke the plate
0.2,6,html-slider-response,61,48,male,English,AmE,""":""""}",discover,lost his key
0.15,7,html-slider-response,61,48,male,English,AmE,""":""""}",fnrrc,saw the murder
0.07,8,html-slider-response,61,48,male,English,AmE,""":""""}",confess,stole the money
0.55,9,html-slider-response,61,48,male,English,AmE,""":""""}",confirm,bought a new car
0.34,10,html-slider-response,61,48,male,English,AmE,""":""""}",know,ate the last cupcake
0.1,4,html-slider-response,52,39,male,English,AmE,""":""""}",be right,saw the murder
0,5,html-slider-response,52,39,male,English,AmE,""":""""}",mnrrc,bought a new car
0.02,6,html-slider-response,52,39,male,English,AmE,""":""""}",know,cheated on his wife
0.84,7,html-slider-response,52,39,male,English,AmE,""":""""}",confess,stole the money
0.75,8,html-slider-response,52,39,male,English,AmE,""":""""}",discover,lost his key
0.59,9,html-slider-response,52,39,male,English,AmE,""":""""}",fnrrc,broke the plate
1,11,html-slider-response,52,39,male,English,AmE,""":""""}",confirm,ate the last cupcake
0,3,html-slider-response,76,33,female,English,AmE,""":""""}",be right,stole the money
0.73,5,html-slider-response,76,33,female,English,AmE,""":""""}",confirm,broke the plate
0.27,6,html-slider-response,76,33,female,English,AmE,""":""""}",know,bought a new car
0.96,8,html-slider-response,76,33,female,English,AmE,""":""""}",confess,cheated on his wife
0.22,9,html-slider-response,76,33,female,English,AmE,""":""""}",fnrrc,ate the last cupcake
0.69,10,html-slider-response,76,33,female,English,AmE,""":""""}",mnrrc,saw the murder
0.76,11,html-slider-response,76,33,female,English,AmE,""":""""}",discover,lost his key
1,4,html-slider-response,33,40,female,English,AmE,""":""""}",know,stole the money
1,6,html-slider-response,33,40,female,English,AmE,""":""""}",discover,bought a new car
0.5,7,html-slider-response,33,40,female,English,AmE,""":""""}",confirm,broke the plate
0.76,8,html-slider-response,33,40,female,English,AmE,""":""""}",fnrrc,lost his key
0.93,9,html-slider-response,33,40,female,English,AmE,""":""""}",mnrrc,cheated on his wife
0.83,10,html-slider-response,33,40,female,English,AmE,""":""""}",be right,ate the last cupcake
0.5,11,html-slider-response,33,40,female,English,AmE,""":""""}",confess,saw the murder
0.84,3,html-slider-response,70,32,male,English,AmE,""":""""}",be right,stole the money
0.97,4,html-slider-response,70,32,male,English,AmE,""":""""}",confess,ate the last cupcake
1,6,html-slider-response,70,32,male,English,AmE,""":""""}",confirm,lost his key
0.83,7,html-slider-response,70,32,male,English,AmE,""":""""}",mnrrc,saw the murder
0.93,9,html-slider-response,70,32,male,English,AmE,""":""""}",fnrrc,cheated on his wife
1,10,html-slider-response,70,32,male,English,AmE,""":""""}",know,broke the plate
0.65,11,html-slider-response,70,32,male,English,AmE,""":""""}",discover,bought a new car
0.58,3,html-slider-response,1,59,male,English,AmE,""":""""}",fnrrc,lost his key
0.8,6,html-slider-response,1,59,male,English,AmE,""":""""}",mnrrc,broke the plate
0.58,7,html-slider-response,1,59,male,English,AmE,""":""""}",be right,bought a new car
0.68,8,html-slider-response,1,59,male,English,AmE,""":""""}",confirm,saw the murder
0.56,9,html-slider-response,1,59,male,English,AmE,""":""""}",know,stole the money
0.71,10,html-slider-response,1,59,male,English,AmE,""":""""}",discover,ate the last cupcake
0.2,11,html-slider-response,1,59,male,English,AmE,""":""""}",confess,cheated on his wife
0.6,3,html-slider-response,66,64,female,English,AmE,""":""interesting study""}",mnrrc,cheated on his wife
0.55,4,html-slider-response,66,64,female,English,AmE,""":""interesting study""}",fnrrc,lost his key
1,6,html-slider-response,66,64,female,English,AmE,""":""interesting study""}",confess,ate the last cupcake
0.91,8,html-slider-response,66,64,female,English,AmE,""":""interesting study""}",discover,saw the murder
0.56,9,html-slider-response,66,64,female,English,AmE,""":""interesting study""}",know,broke the plate
0.6,10,html-slider-response,66,64,female,English,AmE,""":""interesting study""}",be right,bought a new car
0.91,11,html-slider-response,66,64,female,English,AmE,""":""interesting study""}",confirm,stole the money
0.71,4,html-slider-response,30,52,male,English,AmE,""":""""}",know,broke the plate
0.62,5,html-slider-response,30,52,male,English,AmE,""":""""}",confess,bought a new car
0.61,6,html-slider-response,30,52,male,English,AmE,""":""""}",mnrrc,ate the last cupcake
0.76,7,html-slider-response,30,52,male,English,AmE,""":""""}",confirm,cheated on his wife
0.63,8,html-slider-response,30,52,male,English,AmE,""":""""}",fnrrc,saw the murder
0.72,10,html-slider-response,30,52,male,English,AmE,""":""""}",be right,stole the money
