participant_id,trial_type,trial_index,age,gender,language,amE,comments,expression,choice,nResponse,cc
99076ad4-080b-4370-af31-5b512dae610e,survey-multi-choice,4,23,female,English,AmE,""":""""}",mnrrc,"Yes, but",0,lost his key
99076ad4-080b-4370-af31-5b512dae610e,survey-multi-choice,5,23,female,English,AmE,""":""""}",confirm,"Yes, but",0,bought a new car
99076ad4-080b-4370-af31-5b512dae610e,survey-multi-choice,7,23,female,English,AmE,""":""""}",confess,"Yes, but",0,ate the last cupcake
99076ad4-080b-4370-af31-5b512dae610e,survey-multi-choice,8,23,female,English,AmE,""":""""}",know,"No,",1,stole the money
99076ad4-080b-4370-af31-5b512dae610e,survey-multi-choice,9,23,female,English,AmE,""":""""}",fnrrc,"Yes, but",0,cheated on his wife
99076ad4-080b-4370-af31-5b512dae610e,survey-multi-choice,10,23,female,English,AmE,""":""""}",discover,"Yes, but",0,broke the plate
99076ad4-080b-4370-af31-5b512dae610e,survey-multi-choice,11,23,female,English,AmE,""":""""}",be right,"No,",1,saw the murder
e92bae3a-491c-4ce3-8c3d-14361ff60488,survey-multi-choice,3,30,male,English,AmE,""":""none""}",be right,"No,",1,lost his key
e92bae3a-491c-4ce3-8c3d-14361ff60488,survey-multi-choice,4,30,male,English,AmE,""":""none""}",discover,"No,",1,broke the plate
e92bae3a-491c-4ce3-8c3d-14361ff60488,survey-multi-choice,6,30,male,English,AmE,""":""none""}",mnrrc,"No,",1,bought a new car
e92bae3a-491c-4ce3-8c3d-14361ff60488,survey-multi-choice,8,30,male,English,AmE,""":""none""}",fnrrc,"No,",1,stole the money
e92bae3a-491c-4ce3-8c3d-14361ff60488,survey-multi-choice,9,30,male,English,AmE,""":""none""}",confirm,"No,",1,saw the murder
e92bae3a-491c-4ce3-8c3d-14361ff60488,survey-multi-choice,10,30,male,English,AmE,""":""none""}",know,"No,",1,ate the last cupcake
e92bae3a-491c-4ce3-8c3d-14361ff60488,survey-multi-choice,11,30,male,English,AmE,""":""none""}",confess,"No,",1,cheated on his wife
9fd505cb-b3e0-42c9-b574-a6165a355c77,survey-multi-choice,4,34,female,English,AmE,""":""""}",confirm,"No,",1,ate the last cupcake
9fd505cb-b3e0-42c9-b574-a6165a355c77,survey-multi-choice,5,34,female,English,AmE,""":""""}",know,"Yes, but",0,broke the plate
9fd505cb-b3e0-42c9-b574-a6165a355c77,survey-multi-choice,6,34,female,English,AmE,""":""""}",be right,"No,",1,cheated on his wife
9fd505cb-b3e0-42c9-b574-a6165a355c77,survey-multi-choice,7,34,female,English,AmE,""":""""}",confess,"No,",1,saw the murder
9fd505cb-b3e0-42c9-b574-a6165a355c77,survey-multi-choice,9,34,female,English,AmE,""":""""}",fnrrc,"No,",1,bought a new car
9fd505cb-b3e0-42c9-b574-a6165a355c77,survey-multi-choice,10,34,female,English,AmE,""":""""}",discover,"No,",1,lost his key
9fd505cb-b3e0-42c9-b574-a6165a355c77,survey-multi-choice,11,34,female,English,AmE,""":""""}",mnrrc,"No,",1,stole the money
e61fdd8b-27ee-49f3-b0cf-e209f95bd6c9,survey-multi-choice,3,32,female,English,AmE,""":""""}",fnrrc,"Yes, but",0,stole the money
e61fdd8b-27ee-49f3-b0cf-e209f95bd6c9,survey-multi-choice,4,32,female,English,AmE,""":""""}",confess,"No,",1,ate the last cupcake
e61fdd8b-27ee-49f3-b0cf-e209f95bd6c9,survey-multi-choice,5,32,female,English,AmE,""":""""}",discover,"No,",1,lost his key
e61fdd8b-27ee-49f3-b0cf-e209f95bd6c9,survey-multi-choice,6,32,female,English,AmE,""":""""}",know,"No,",1,cheated on his wife
e61fdd8b-27ee-49f3-b0cf-e209f95bd6c9,survey-multi-choice,9,32,female,English,AmE,""":""""}",confirm,"No,",1,saw the murder
e61fdd8b-27ee-49f3-b0cf-e209f95bd6c9,survey-multi-choice,10,32,female,English,AmE,""":""""}",be right,"No,",1,bought a new car
e61fdd8b-27ee-49f3-b0cf-e209f95bd6c9,survey-multi-choice,11,32,female,English,AmE,""":""""}",mnrrc,"Yes, but",0,broke the plate
4572f0e0-9fa0-4721-8df2-04490a48d170,survey-multi-choice,4,34,female,English,AmE,""":""no idea""}",discover,"No,",1,bought a new car
4572f0e0-9fa0-4721-8df2-04490a48d170,survey-multi-choice,5,34,female,English,AmE,""":""no idea""}",confess,"No,",1,cheated on his wife
4572f0e0-9fa0-4721-8df2-04490a48d170,survey-multi-choice,7,34,female,English,AmE,""":""no idea""}",know,"No,",1,broke the plate
4572f0e0-9fa0-4721-8df2-04490a48d170,survey-multi-choice,8,34,female,English,AmE,""":""no idea""}",confirm,"No,",1,ate the last cupcake
4572f0e0-9fa0-4721-8df2-04490a48d170,survey-multi-choice,9,34,female,English,AmE,""":""no idea""}",mnrrc,"No,",1,lost his key
4572f0e0-9fa0-4721-8df2-04490a48d170,survey-multi-choice,10,34,female,English,AmE,""":""no idea""}",fnrrc,"Yes, but",0,saw the murder
4572f0e0-9fa0-4721-8df2-04490a48d170,survey-multi-choice,11,34,female,English,AmE,""":""no idea""}",be right,"No,",1,stole the money
8cab70d1-9f74-4611-8c8f-580fa054a3bb,survey-multi-choice,3,28,female,English,AmE,""":""""}",confess,"Yes, but",0,saw the murder
8cab70d1-9f74-4611-8c8f-580fa054a3bb,survey-multi-choice,4,28,female,English,AmE,""":""""}",be right,"No,",1,broke the plate
8cab70d1-9f74-4611-8c8f-580fa054a3bb,survey-multi-choice,6,28,female,English,AmE,""":""""}",know,"No,",1,stole the money
8cab70d1-9f74-4611-8c8f-580fa054a3bb,survey-multi-choice,7,28,female,English,AmE,""":""""}",discover,"No,",1,ate the last cupcake
8cab70d1-9f74-4611-8c8f-580fa054a3bb,survey-multi-choice,8,28,female,English,AmE,""":""""}",mnrrc,"No,",1,lost his key
8cab70d1-9f74-4611-8c8f-580fa054a3bb,survey-multi-choice,9,28,female,English,AmE,""":""""}",fnrrc,"Yes, but",0,cheated on his wife
8cab70d1-9f74-4611-8c8f-580fa054a3bb,survey-multi-choice,11,28,female,English,AmE,""":""""}",confirm,"No,",1,bought a new car
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,3,37,female,English,AmE,""":""""}",confirm,"No,",1,stole the money
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,4,37,female,English,AmE,""":""""}",discover,"No,",1,cheated on his wife
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,5,37,female,English,AmE,""":""""}",be right,"No,",1,ate the last cupcake
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,7,37,female,English,AmE,""":""""}",mnrrc,"No,",1,broke the plate
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,8,37,female,English,AmE,""":""""}",know,"No,",1,lost his key
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,9,37,female,English,AmE,""":""""}",confess,"No,",1,saw the murder
b7141adc-351a-410c-b493-cf3d05099243,survey-multi-choice,11,37,female,English,AmE,""":""""}",fnrrc,"Yes, but",0,bought a new car
ed4b949d-e4ac-44d8-a264-abd02c148d03,survey-multi-choice,4,19,male,English,AmE,""":""""}",mnrrc,"No,",1,saw the murder
ed4b949d-e4ac-44d8-a264-abd02c148d03,survey-multi-choice,5,19,male,English,AmE,""":""""}",know,"No,",1,bought a new car
ed4b949d-e4ac-44d8-a264-abd02c148d03,survey-multi-choice,6,19,male,English,AmE,""":""""}",confess,"No,",1,broke the plate
ed4b949d-e4ac-44d8-a264-abd02c148d03,survey-multi-choice,7,19,male,English,AmE,""":""""}",discover,"No,",1,cheated on his wife
