participantID,trial_type,trial_index,age,gender,language,amE,comments,expression,choice,nResponse,cc
41,survey-multi-choice,4,23,female,English,AmE,""":""""}",mnrrc,"Yes, but",0,lost his key
41,survey-multi-choice,5,23,female,English,AmE,""":""""}",confirm,"Yes, but",0,bought a new car
41,survey-multi-choice,7,23,female,English,AmE,""":""""}",confess,"Yes, but",0,ate the last cupcake
41,survey-multi-choice,8,23,female,English,AmE,""":""""}",know,"No,",1,stole the money
41,survey-multi-choice,9,23,female,English,AmE,""":""""}",fnrrc,"Yes, but",0,cheated on his wife
41,survey-multi-choice,10,23,female,English,AmE,""":""""}",discover,"Yes, but",0,broke the plate
41,survey-multi-choice,11,23,female,English,AmE,""":""""}",be right,"No,",1,saw the murder
74,survey-multi-choice,3,30,male,English,AmE,""":""none""}",be right,"No,",1,lost his key
74,survey-multi-choice,4,30,male,English,AmE,""":""none""}",discover,"No,",1,broke the plate
74,survey-multi-choice,6,30,male,English,AmE,""":""none""}",mnrrc,"No,",1,bought a new car
74,survey-multi-choice,8,30,male,English,AmE,""":""none""}",fnrrc,"No,",1,stole the money
74,survey-multi-choice,9,30,male,English,AmE,""":""none""}",confirm,"No,",1,saw the murder
74,survey-multi-choice,10,30,male,English,AmE,""":""none""}",know,"No,",1,ate the last cupcake
74,survey-multi-choice,11,30,male,English,AmE,""":""none""}",confess,"No,",1,cheated on his wife
42,survey-multi-choice,4,34,female,English,AmE,""":""""}",confirm,"No,",1,ate the last cupcake
42,survey-multi-choice,5,34,female,English,AmE,""":""""}",know,"Yes, but",0,broke the plate
42,survey-multi-choice,6,34,female,English,AmE,""":""""}",be right,"No,",1,cheated on his wife
42,survey-multi-choice,7,34,female,English,AmE,""":""""}",confess,"No,",1,saw the murder
42,survey-multi-choice,9,34,female,English,AmE,""":""""}",fnrrc,"No,",1,bought a new car
42,survey-multi-choice,10,34,female,English,AmE,""":""""}",discover,"No,",1,lost his key
42,survey-multi-choice,11,34,female,English,AmE,""":""""}",mnrrc,"No,",1,stole the money
72,survey-multi-choice,3,32,female,English,AmE,""":""""}",fnrrc,"Yes, but",0,stole the money
72,survey-multi-choice,4,32,female,English,AmE,""":""""}",confess,"No,",1,ate the last cupcake
72,survey-multi-choice,5,32,female,English,AmE,""":""""}",discover,"No,",1,lost his key
72,survey-multi-choice,6,32,female,English,AmE,""":""""}",know,"No,",1,cheated on his wife
72,survey-multi-choice,9,32,female,English,AmE,""":""""}",confirm,"No,",1,saw the murder
72,survey-multi-choice,10,32,female,English,AmE,""":""""}",be right,"No,",1,bought a new car
72,survey-multi-choice,11,32,female,English,AmE,""":""""}",mnrrc,"Yes, but",0,broke the plate
21,survey-multi-choice,4,34,female,English,AmE,""":""no idea""}",discover,"No,",1,bought a new car
21,survey-multi-choice,5,34,female,English,AmE,""":""no idea""}",confess,"No,",1,cheated on his wife
21,survey-multi-choice,7,34,female,English,AmE,""":""no idea""}",know,"No,",1,broke the plate
21,survey-multi-choice,8,34,female,English,AmE,""":""no idea""}",confirm,"No,",1,ate the last cupcake
21,survey-multi-choice,9,34,female,English,AmE,""":""no idea""}",mnrrc,"No,",1,lost his key
21,survey-multi-choice,10,34,female,English,AmE,""":""no idea""}",fnrrc,"Yes, but",0,saw the murder
21,survey-multi-choice,11,34,female,English,AmE,""":""no idea""}",be right,"No,",1,stole the money
36,survey-multi-choice,3,28,female,English,AmE,""":""""}",confess,"Yes, but",0,saw the murder
36,survey-multi-choice,4,28,female,English,AmE,""":""""}",be right,"No,",1,broke the plate
36,survey-multi-choice,6,28,female,English,AmE,""":""""}",know,"No,",1,stole the money
36,survey-multi-choice,7,28,female,English,AmE,""":""""}",discover,"No,",1,ate the last cupcake
