contrast,.value,.lower,.upper,.width,.point,.interval,first,second
acknowledge - admit,-0.29357883467661283,-0.45924475304438556,-0.11611508279080744,0.95,mean,hdi,acknowledge, admit
acknowledge - announce,-0.4827109283604298,-0.6663566455291713,-0.31041712290011364,0.95,mean,hdi,acknowledge, announce
acknowledge - be_annoyed,0.8425499214724728,0.6540226320585878,1.0556719067096478,0.95,mean,hdi,acknowledge, be_annoyed
acknowledge - confess,-0.45354199208636853,-0.6275097637639998,-0.27160484902807075,0.95,mean,hdi,acknowledge, confess
acknowledge - confirm,-0.9291860318433377,-1.1058566523739322,-0.7439243440957544,0.95,mean,hdi,acknowledge, confirm
acknowledge - demonstrate,-0.23121321407392947,-0.4038376480365843,-0.06245812888687741,0.95,mean,hdi,acknowledge, demonstrate
acknowledge - discover,0.09579522575538153,-0.08276258374563612,0.2556542434923658,0.95,mean,hdi,acknowledge, discover
acknowledge - establish,-0.6933416249406305,-0.8629490599309427,-0.5213584019465389,0.95,mean,hdi,acknowledge, establish
acknowledge - hear,0.11421999467188149,-0.062042367130516494,0.29307065652627895,0.95,mean,hdi,acknowledge, hear
acknowledge - inform,0.3306150431278028,0.1409253439958331,0.5123498193761363,0.95,mean,hdi,acknowledge, inform
acknowledge - know,0.3514121802520666,0.16830641303797286,0.5306868232976362,0.95,mean,hdi,acknowledge, know
acknowledge - pretend,0.4012029879516905,0.22642464621999273,0.5918306379162045,0.95,mean,hdi,acknowledge, pretend
acknowledge - prove,-0.5218368426247731,-0.6940392713513426,-0.3349862557209116,0.95,mean,hdi,acknowledge, prove
acknowledge - reveal,-0.5787211620476129,-0.7467063170506352,-0.4006216163186215,0.95,mean,hdi,acknowledge, reveal
acknowledge - say,-1.0360821602090597,-1.2180879610622015,-0.8551480272462798,0.95,mean,hdi,acknowledge, say
acknowledge - see,0.29450725618062357,0.11297475707641763,0.4671954451332688,0.95,mean,hdi,acknowledge, see
acknowledge - suggest,-0.48570463999206104,-0.6625013501068814,-0.3115689047630484,0.95,mean,hdi,acknowledge, suggest
acknowledge - think,0.09636377004271361,-0.0825472919175569,0.28094250154812184,0.95,mean,hdi,acknowledge, think
admit - announce,-0.18913209368381695,-0.36515063898784245,-0.016150935758070042,0.95,mean,hdi,admit, announce
admit - be_annoyed,1.1361287561490856,0.9358892931154962,1.3308580222433637,0.95,mean,hdi,admit, be_annoyed
