response,participantID,age,gender,language,amE,comments,expression,cc
0.12,22,46,male,English,AmE,""":""""}",confess,saw the murder
1,22,46,male,English,AmE,""":""""}",NAI MC,control
0,22,46,male,English,AmE,""":""""}",AI MC,control
0.91,22,46,male,English,AmE,""":""""}",medial NRRC,broke the plate
0.050000000000000044,22,46,male,English,AmE,""":""""}",discover,ate the last cupcake
0.19999999999999996,22,46,male,English,AmE,""":""""}",be right,cheated on his wife
0.63,22,46,male,English,AmE,""":""""}",know,lost his key
0.5,22,46,male,English,AmE,""":""""}",confirm,stole the money
0.84,22,46,male,English,AmE,""":""""}",final NRRC,bought a new car
0,73,22,preferNoToSay,English,AmE,""":""""}",confirm,bought a new car
0,73,22,preferNoToSay,English,AmE,""":""""}",discover,saw the murder
1,73,22,preferNoToSay,English,AmE,""":""""}",NAI MC,control
1,73,22,preferNoToSay,English,AmE,""":""""}",medial NRRC,stole the money
1,73,22,preferNoToSay,English,AmE,""":""""}",final NRRC,lost his key
1,73,22,preferNoToSay,English,AmE,""":""""}",confess,broke the plate
0,73,22,preferNoToSay,English,AmE,""":""""}",AI MC,control
0,73,22,preferNoToSay,English,AmE,""":""""}",be right,cheated on his wife
1,73,22,preferNoToSay,English,AmE,""":""""}",know,ate the last cupcake
1,66,38,female,English,AmE,""":""None""}",medial NRRC,saw the murder
0,66,38,female,English,AmE,""":""None""}",AI MC,control
1,66,38,female,English,AmE,""":""None""}",know,stole the money
0,66,38,female,English,AmE,""":""None""}",confirm,broke the plate
1,66,38,female,English,AmE,""":""None""}",NAI MC,control
0,66,38,female,English,AmE,""":""None""}",be right,bought a new car
1,66,38,female,English,AmE,""":""None""}",discover,lost his key
0.72,66,38,female,English,AmE,""":""None""}",confess,ate the last cupcake
1,66,38,female,English,AmE,""":""None""}",final NRRC,cheated on his wife
1,1,41,female,English,AmE,""":""N/A""}",confirm,lost his key
0,1,41,female,English,AmE,""":""N/A""}",be right,cheated on his wife
1,1,41,female,English,AmE,""":""N/A""}",NAI MC,control
1,1,41,female,English,AmE,""":""N/A""}",know,bought a new car
1,1,41,female,English,AmE,""":""N/A""}",medial NRRC,saw the murder
1,1,41,female,English,AmE,""":""N/A""}",confess,ate the last cupcake
1,1,41,female,English,AmE,""":""N/A""}",final NRRC,stole the money
0,1,41,female,English,AmE,""":""N/A""}",AI MC,control
1,1,41,female,English,AmE,""":""N/A""}",discover,broke the plate
0,55,34,male,English,AmE,""":""""}",confess,stole the money
1,55,34,male,English,AmE,""":""""}",final NRRC,bought a new car
0,55,34,male,English,AmE,""":""""}",confirm,cheated on his wife
0.5,55,34,male,English,AmE,""":""""}",be right,lost his key
1,55,34,male,English,AmE,""":""""}",medial NRRC,broke the plate
0.51,55,34,male,English,AmE,""":""""}",know,ate the last cupcake
1,55,34,male,English,AmE,""":""""}",NAI MC,control
0,55,34,male,English,AmE,""":""""}",AI MC,control
0.49,55,34,male,English,AmE,""":""""}",discover,saw the murder
0,68,36,female,English,AmE,""":""This was an interesting study.""}",be right,saw the murder
0,68,36,female,English,AmE,""":""This was an interesting study.""}",AI MC,control
1,68,36,female,English,AmE,""":""This was an interesting study.""}",final NRRC,ate the last cupcake
1,68,36,female,English,AmE,""":""This was an interesting study.""}",confess,lost his key
1,68,36,female,English,AmE,""":""This was an interesting study.""}",medial NRRC,broke the plate
0.32999999999999996,68,36,female,English,AmE,""":""This was an interesting study.""}",confirm,stole the money
1,68,36,female,English,AmE,""":""This was an interesting study.""}",know,cheated on his wife
1,68,36,female,English,AmE,""":""This was an interesting study.""}",NAI MC,control
1,68,36,female,English,AmE,""":""This was an interesting study.""}",discover,bought a new car
1,49,55,female,English,AmE,""":""""}",discover,bought a new car
1,49,55,female,English,AmE,""":""""}",final NRRC,cheated on his wife
1,49,55,female,English,AmE,""":""""}",NAI MC,control
0,49,55,female,English,AmE,""":""""}",AI MC,control
0.6799999999999999,49,55,female,English,AmE,""":""""}",confirm,stole the money
0,49,55,female,English,AmE,""":""""}",be right,lost his key
1,49,55,female,English,AmE,""":""""}",medial NRRC,ate the last cupcake
1,49,55,female,English,AmE,""":""""}",confess,broke the plate
1,49,55,female,English,AmE,""":""""}",know,saw the murder
0,47,32,female,English,AmE,""":""""}",discover,lost his key
1,47,32,female,English,AmE,""":""""}",final NRRC,saw the murder
1,47,32,female,English,AmE,""":""""}",NAI MC,control
1,47,32,female,English,AmE,""":""""}",confess,bought a new car
0,47,32,female,English,AmE,""":""""}",be right,stole the money
1,47,32,female,English,AmE,""":""""}",medial NRRC,ate the last cupcake
0,47,32,female,English,AmE,""":""""}",AI MC,control
1,47,32,female,English,AmE,""":""""}",confirm,cheated on his wife
1,47,32,female,English,AmE,""":""""}",know,broke the plate
0.13,62,36,female,English,AmE,""":""""}",discover,stole the money
0.25,62,36,female,English,AmE,""":""""}",know,ate the last cupcake
0.18000000000000005,62,36,female,English,AmE,""":""""}",be right,bought a new car
1,62,36,female,English,AmE,""":""""}",NAI MC,control
0.12,62,36,female,English,AmE,""":""""}",AI MC,control
0.06999999999999995,62,36,female,English,AmE,""":""""}",confirm,broke the plate
